acc                                                                ,batch_size ,checkpoints_path   ,communicators         ,d_model ,label_smoothing ,lr     ,model_name ,n_heads ,n_heads_communicators ,n_layers ,n_params/M ,n_total_epochs ,n_warmup_epochs ,patch_size ,pretrained_model_path ,results_path ,save_delta_all ,save_delta_revert ,seed ,use_scheduler ,weight_decay
0.5775316455696202                                                 ,       128 ,model_checkpoints/ ,normal                ,    128 ,            0.1 ,0.0001 ,small      ,      8 ,4                     ,       8 ,  1.602058 ,            50 ,             10 ,         4 ,None                  ,results.csv  ,         15000 ,            30000 ,  42 ,True          ,1e-06
0.5759493670886076                                                 ,       128 ,model_checkpoints/ ,normal                ,    128 ,            0.0 ,0.0001 ,small      ,      8 ,4                     ,       8 ,  1.602058 ,            50 ,             10 ,         4 ,None                  ,results.csv  ,         15000 ,            30000 ,  42 ,True          ,1e-06
0.5759493670886076                                                 ,       128 ,model_checkpoints/ ,normal                ,    128 ,            0.0 ,0.0001 ,small      ,      8 ,4                     ,       8 ,  1.602058 ,            50 ,             10 ,         4 ,None                  ,results.csv  ,         15000 ,            30000 ,  42 ,True          ,1e-06
0.3427610759493671                                                 ,       128 ,model_checkpoints/ ,weighted              ,     16 ,            0.1 ,0.0001 ,custom     ,      8 ,4                     ,       8 ,  0.02827  ,            50 ,              4 ,         4 ,None                  ,results.csv  ,         15000 ,            30000 ,  42 ,True          ,5e-05
0.41811708860759494                                                ,       128 ,model_checkpoints/ ,weighted              ,     32 ,            0.1 ,0.0001 ,custom     ,      8 ,4                     ,       8 ,  0.105646 ,            50 ,              4 ,         4 ,None                  ,results.csv  ,         15000 ,            30000 ,  42 ,True          ,5e-05
0.4821004746835443                                                 ,       128 ,model_checkpoints/ ,weighted              ,     64 ,            0.1 ,0.0001 ,custom     ,      8 ,4                     ,       8 ,  0.407854 ,            50 ,              4 ,         4 ,None                  ,results.csv  ,         15000 ,            30000 ,  42 ,True          ,5e-05
0.528876582278481                                                  ,       128 ,model_checkpoints/ ,weighted              ,     96 ,            0.1 ,0.0001 ,custom     ,      8 ,4                     ,       8 ,  0.90667  ,            50 ,              4 ,         4 ,None                  ,results.csv  ,         15000 ,            30000 ,  42 ,True          ,5e-05
0.5587420886075949                                                 ,       128 ,model_checkpoints/ ,weighted              ,    128 ,            0.1 ,0.0001 ,custom     ,      8 ,4                     ,       8 ,  1.602094 ,            50 ,              4 ,         4 ,None                  ,results.csv  ,         15000 ,            30000 ,  42 ,True          ,5e-05
0.3536392405063291                                                 ,       128 ,model_checkpoints/ ,normal                ,     16 ,            0.1 ,0.0001 ,custom     ,      8 ,4                     ,       8 ,  0.028234 ,            50 ,              4 ,         4 ,None                  ,results.csv  ,         15000 ,            30000 ,  42 ,True          ,5e-05
0.4285007911392405                                                 ,       128 ,model_checkpoints/ ,normal                ,     32 ,            0.1 ,0.0001 ,custom     ,      8 ,4                     ,       8 ,  0.10561  ,            50 ,              4 ,         4 ,None                  ,results.csv  ,         15000 ,            30000 ,  42 ,True          ,5e-05
0.49505537974683544                                                ,       128 ,model_checkpoints/ ,normal                ,     64 ,            0.1 ,0.0001 ,custom     ,      8 ,4                     ,       8 ,  0.407818 ,            50 ,              4 ,         4 ,None                  ,results.csv  ,         15000 ,            30000 ,  42 ,True          ,5e-05
0.5448971518987342                                                 ,       128 ,model_checkpoints/ ,normal                ,     96 ,            0.1 ,0.0001 ,custom     ,      8 ,4                     ,       8 ,  0.906634 ,            50 ,              4 ,         4 ,None                  ,results.csv  ,         15000 ,            30000 ,  42 ,True          ,5e-05
0.5756526898734177                                                 ,       128 ,model_checkpoints/ ,normal                ,    128 ,            0.1 ,0.0001 ,custom     ,      8 ,4                     ,       8 ,  1.602058 ,            50 ,              4 ,         4 ,None                  ,results.csv  ,         15000 ,            30000 ,  42 ,True          ,5e-05

init one hot so at init
only the last layer
gets passed
0.5766416139240507                                                 ,       128 ,model_checkpoints/ ,weighted              ,    128 ,            0.1 ,0.0001 ,custom     ,      8 ,4                     ,       8 ,  1.602094 ,            50 ,              4 ,         4 ,None                  ,results.csv  ,         15000 ,            30000 ,  42 ,True          ,5e-05
init at vector of 1s
which means that it
is the same as normal
in the beginning
does not train :(

from this point there is a communicator at the classification head
0.573378164556962                                                  ,       128 ,model_checkpoints/ ,feature_wise_weighted ,    128 ,            0.1 ,0.0001 ,custom     ,      8 ,4                     ,       8 ,  1.606666 ,            50 ,              4 ,         4 ,None                  ,results.csv  ,         15000 ,            30000 ,  42 ,True          ,5e-05

0.5482594936708861                                                 ,       128 ,model_checkpoints/ ,feature_wise_weighted ,     96 ,            0.1 ,0.0001 ,custom     ,      8 ,4                     ,       8 ,  0.91009  ,            50 ,              4 ,         4 ,None                  ,results.csv  ,         15000 ,            30000 ,  42 ,True          ,5e-05
0.5825751582278481                                                 ,       128 ,model_checkpoints/ ,bottlenecked_dense    ,    128 ,            0.1 ,0.0001 ,custom     ,      8 ,4                     ,       8 ,  1.899146 ,            50 ,              4 ,         4 ,None                  ,results.csv  ,         15000 ,            30000 ,  42 ,True          ,5e-05
0.5536985759493671                                                 ,       128 ,model_checkpoints/ ,bottlenecked_dense    ,     96 ,            0.1 ,0.0001 ,custom     ,      8 ,4                     ,       8 ,  1.074154 ,            50 ,              4 ,         4 ,None                  ,results.csv  ,         15000 ,            30000 ,  42 ,True          ,5e-05
0.6364715189873418                                                 ,       128 ,model_checkpoints/ ,bottlenecked_dense    ,    192 ,            0.1 ,0.0001 ,custom     ,     12 ,4                     ,      12 ,  6.80593  ,            50 ,              4 ,         4 ,None                  ,results.csv  ,         15000 ,            30000 ,  42 ,True          ,5e-05
0.6206487341772152                                                 ,       128 ,model_checkpoints/ ,bottlenecked_dense    ,    156 ,            0.1 ,0.0001 ,custom     ,     12 ,4                     ,      12 ,  4.502092 ,            50 ,              4 ,         4 ,None                  ,results.csv  ,         15000 ,            30000 ,  42 ,True          ,5e-05
0.517998417721519                                                  ,       128 ,model_checkpoints/ ,bottlenecked_dense    ,     64 ,            0.1 ,0.0001 ,custom     ,      8 ,4                     ,      12 ,  0.769514 ,            50 ,              4 ,         4 ,None                  ,results.csv  ,         15000 ,            30000 ,  42 ,True          ,5e-05
0.5274920886075949                                                 ,       128 ,model_checkpoints/ ,bottlenecked_dense    ,     64 ,            0.1 ,0.0001 ,custom     ,      8 ,4                     ,      24 ,  1.828298 ,            50 ,              4 ,         4 ,None                  ,results.csv  ,         15000 ,            30000 ,  42 ,True          ,1e-06
0.5847507911392406                                                 ,       128 ,model_checkpoints/ ,bottlenecked_dense    ,    128 ,            0.1 ,0.0001 ,custom     ,      8 ,4                     ,      12 ,  3.145194 ,            50 ,              4 ,         4 ,None                  ,results.csv  ,         15000 ,            30000 ,  42 ,True          ,5e-05
